"","School","Program","Name","Description","Code","Credits"
"64","Duke University","Master of Quantitative Management Business Analytics","Financial Statement Fraud","Develop an understanding of the various aspects of fraudulent financial reporting, including the identification of fraud schemes and analytical techniques in uncovering fraud in financial reports. You’ll gain an understanding of SAS 99 as it pertains to the consideration of fraud in a financial statement audit, the nature of internal controls and the role of initiatives to curb fraud both from the PCAOB and from provisions of the Sarbanes-Oxley Act.",NA,NA
"65","Duke University","Master of Quantitative Management Business Analytics","Managing Operational and Informational Risks","Learn the concepts of Enterprise Risk Management, the enterprise-wide process applied to identify and manage the risk of potential events that may affect the entity; Internal Control, a process that provides assurance regarding objectives for operations, reporting, and compliance; and Fraud Deterrence, the detecting, preventing, and responding to individuals acting outside expected standards of ethical conduct for financial or personal gain.",NA,NA
"66","Duke University","Master of Quantitative Management Business Analytics","Fraud Analytics","With the processing power and volume of data available to most large businesses, it is now possible to use quantitative techniques to identify potentially fraudulent behavior. When a fraud pattern is detected, these techniques can help identify potential perpetrators and put corrective measures into place.  You’ll explore analytics techniques currently being used to identify and prevent fraud in relevant business contexts.",NA,NA
"67","Texas A&M University","Master of Science Analytics"," Residency one: Orientation","Orientation at Houston CityCentre, Houston, TX1. Technology overview2. Introduction to teams3. Introduction to programming and logic4. Statistics refresher5. Tableau, JMP & SAS training6. Conflict management assessment7. Project Management: Student panel on capstone8. Program Overview",NA,NA
"68","Texas A&M University","Master of Science Analytics"," STAT 608 Regression Analysis ","Topics covered in STAT 6081. Regression methods based on least squares2. Diagnostic methods including marginal model plots 3. Transformations and weighted least squares 4. Shrinkage and model selection techniques including lasso5. Linear regression splines including MARS6. Logistic regression7. Poisson regression8. Regression models with serially correlated errors9. Bayesian approaches to linear and logistic regressionIn STAT 608, students undertake a major project focused on building and interpreting one or more predictive models. Previous projects have focused on 1. Modeling the asking price of certified pre-owned BMW and Lexus automobiles2. Modeling default probability in 30 year mortgages for single family homes using the Freddie Mac data 3. Modeling price and customer ratings of Airbnb apartment stays in New York City, Paris and San Francisco4. Modeling price and popularity of New York City restaurants5. Modeling property assessment values for condominium units across different wards in Boston",NA,"3 hours "
"69","Texas A&M University","Master of Science Analytics"," ISTM 615 Business Data Base Sys. ","The primary objective of the course is to familiarize students with general database concepts, database design methodologies, and database implementation. In addition, the course introduces students to Hadoop as a distributed data storage technology used by companies to process large data sets and to Python as a computer coding language used to obtain data from social media.Topics:1. Introduction to relational databases and SQL2. How to retrieve data from two or more tables3. How to code summary queries4. How to insert, update, and delete data5. How to work with data types6. How to work with functions7. How to work with the views8. Introduction to coding and coding standards and Python9. Core objects, variables, input, and output in Python10. Structures that control flow in Python11. Functions in Python12.Processing data in Python13. Miscellaneous topics in Python",NA,"3 hours "
"70","Texas A&M University","Master of Science Analytics"," STAT 684 Practicum ","The student will learn:1. Teamwork and team effectiveness2. Understanding Big Data3. Ethics4. Project Management",NA,"1 hour "
"71","Texas A&M University","Master of Science Analytics"," STAT 636 Methods in Multivariate Analysis ","This course introduces foundations of multivariate analysis including matrix algebra, random vectors, multivariate distributions, and statistical inference for multivariate data. It also introduces methods of machine learning including principal component analysis, discriminant analysis, clustering, and elements of factor analysis and canonical analysis.Topics covered:1. Graphical techniques2. Principal component analysis3. Cluster analysis4. Correspondence analysis and other ordination techniques5. Discriminant analysis6. Classification and prediction7. Factor analysis and SEM8. Inference on mean vectors9. Canonical correlation analysis",NA,"3 hours "
"72","Texas A&M University","Master of Science Analytics"," MKTG 625 Marketing Engineering ","This course will introduce students to a variety of datasets and teach them (hands on usage of) SAS to implement various quantitative techniques. This is an applied course that involves extensive use of data and PC-based analysis using JMP/SAS, a popular statistical software. The course will cover a number of quantitative analyses, explanatory and predictive models pertinent to marketing, such as customer segmentation, customer choice models, customer lifetime value, conjoint models, and market response models.Course Goals Understand how the “first principles” of marketing strategy helps firms organize the analytics opportunity and challenge in today’s data era, and use and execute data analytic techniques, and case studies to understand how to solve marketing analytics problems in a scientific and process-driven manner. Using statistical software to estimate various marketing models. Apply your learning through real database/marketing engineering cases and data.Topics covered:1. 4 Marketing Analytics Principles2. JMP Orientation3. Segmentation Concept Demo and Case4. Targeting Concept5. Choice Models Demo and Case6. Customer Lifetime Value7. Conjoint Concept Demo and Case8. Satisfaction Analytics Concept and Case 9. Response Models Concept and CaseIn MKTG 625, students undertake a several case studies focused on • Retail site location decisions• B2B segmentation in healthcare• Customer acquisition in B2B, retailing and    technology products• Customer lifetime value in the hospitality business• New product development in technology, and    industrial manufacturing• Satisfaction profit chains in the energy sector• Market response models in the media industry",NA,"3 Hours "
"73","Texas A&M University","Master of Science Analytics"," STAT 684 Practicum ","The students will learn:1. Understanding of self and others: Behavior assessment.2. Presence and presentation skills.3. Business writing.4. More on teams.5. Emotional intelligence.6. Leadership/fellowship.7. Constructive criticism.8. Peer review on capstone drafts with project coaches.9. Industry guest speakers--applying predictive modeling.",NA,"1 hour "
"74","Texas A&M University","Master of Science Analytics"," Residency two: Capstone Update & Case Studies","1. Producing predictive models2. Work with live case studies",NA,NA
"75","Texas A&M University","Master of Science Analytics"," STAT 656 Applied Analytics Using SAS Enterprise Guide ","This course is an introduction to the general concepts and methodologies associated with Data Mining, Neural Networks, Machine Learning, and Analytics Modeling. Data Mining is the modeling and analysis of data, usually very large datasets, for decision making. Although several software packages used for Data Mining will be reviewed and compared, the primary concepts will be illustrated using SAS Enterprise Miner. Models discussed include neural networks; multiple and logistic regression; decision trees; and clustering algorithms.Topics:1. The data mining process2. Introduction to SAS Enterprise Miner3. Data collection, exploration and pre-processing4. Linear and logistic regression in Enterprise Miner5. High performance Enterprise Miner6. Comparing and evaluating big data models7. Machine Learning: Decision Trees8. Machine Learning: Random Forests9. Ensemble modeling10. Introduction to text analytics11. Document classification & sentiment analysis12. Topic analysis13. Machine Learning: Neural networks & Random Forests.",NA,"3 hours "
"76","Texas A&M University","Master of Science Analytics"," ACCT 610 Financial Accounting ","This course will examine the internal uses of financial and operational information in planning, controlling, decision making, and performance evaluation in the global market. A specific emphasis will be placed on learning concepts pertaining to: cost management and organizational strategy; cost behaviors; product cost flows; forecasting, cost prediction, managerial incentives and budgeting; and managerial and segment performance evaluation.Topics discussed in ACCT 610 include1. Product costing methods2. Responsibility accounting3. Operational and capital budgeting4. Use of accounting metrics in executive     compensation contracts 5. Firm valuation6. Cost analysis for decision making7. Activity-based costing8. Balanced scorecards 9. Product and service pricing Previous case studies have focused on:1. Financial Statement Analysis2. Product line go/no go decisions3. Profitability measurements of individual products in a     multi-product entity4. Budgeting including cash budgets and pro-form     financial statements5. Activity-based costing6. CRM systems and identification of profit potential of     individual customers and distribution channels7. Transfer pricing 8. Managerial control and incentives",NA,"3 hours "
"77","Texas A&M University","Master of Science Analytics"," STAT 684 Practicum ","The student will learn:1. Cyber security2. Capstone work with project coaches3. Industry guest speakers--applying predictive modeling",NA,"1 hour "
"78","Texas A&M University","Master of Science Analytics"," STAT 626 Meth. in Time Series Anly. ","Prepare time series data for model fitting. Identify whether a time series exhibits the following properties: stationarity vs trend and/or seasonality. Fit appropriate models to time series data from a wide variety of business settings.At the completion of the course, students will be able to:1. Prepare time series data for model fitting2. Identify whether a time series exhibits the     following properties:            a) Stationarity vs trend and/or                seasonality           b) Outliers and/or level shifts3. Fit appropriate models to time series data from     a wide variety of business settings6. Interpret the output from models for time series data7. Identify weaknesses in models for time series data     and formulate ways to overcome them 8. Make valid predictions of future values and draw     business conclusions on the basis of the fitted     models for time series data9. Recommend business actions on the basis of    these conclusionsTopic list:1. Introduction – Autocorrelation and stationarity vs trend    and/or seasonality 2. Autoregressive (AR) models 3. Moving average (MA) models4. Autoregressive moving average (ARMA) models 5. Autoregressive integrated moving average (ARIMA)     models 6. Exponential smoothing7. Regression models with autocorrelated errors8. SAS Forecast Studio 9. Models for more than one time series      i. Transfer function models       ii. Multivariate time series modelsPast student group projects include:1. Based on point-of-sale grocery store sales data, forecast    weekly ground turkey sales by U.S. region.2. ARIMA models for theft and burglary rates3. Seasonal ARIMA models for Monthly Economic Value of     Mineral, Oil, and Gas Field Machinery Manufacturing4.Predicting cattle slaughter counts5. Seasonal ARIMA models for the number of social     security claims received by region6. Predicting Ready Mix Daily Sales for a large     metropolitan area7. Seasonal ARIMA models for average monthly energy     bill for a large metropolitan city.8. Predicting weekly candy sales across the US9. Transfer function models of global mean      temperature change as a function of      CO2 concentration levels",NA,"3 hours "
"79","Texas A&M University","Master of Science Analytics"," STAT 657 Adv. Prog. using SAS ","This course focuses on SAS programming in the Data step, including modifying variables, formats, and loops; various procedures, including sort, means, tabulate, and freq; creating graphs; debugging; the SAS/SQL language; macros; and optimization. Prerequisite: STAT 608 The Optimization Section primarily focuses on formulating and solving mathematical optimization using the SAS OPTMODEL procedure, from reading data to interpreting output and creating data sets. The course covers applications of linear programming, integer and mixed integer programming, and non-linear programming. Students will understand and undertake case studies. At the conclusion of the course students will be knowledgeable about optimization methodology and the use of the advanced SAS optimization capabilities.Course topics:1. Loops, Variable Types, Dates, Functions, Formats.     Importing and Exporting data SAS/SQL2. Macro language 3. Graphing Data 4. Creating HTML, PDF, RTF, and Excel output 5. Advanced data step features: BY group processing,     indexing, arrays, multi-dimensional arrays, and more 6. optimization and PROC OPTMODEL 7. Arrays and Index Sets/LP Models 8. Formatted Output/Dual Variables 9. Control Flow, Operators, & Model Updates 10. Network Problems/ILP and MILP Models 11. Binary Variables/Separable NLP Models 12. General NLP Models/Local Search",NA,"3 hours "
"80","Texas A&M University","Master of Science Analytics"," STAT 685 Directed Studies ","The student will learn:1. Industry guest speakers--applying predictive modeling.2. capstone project work sessions with project coach.",NA,"1 hours "
"81","Texas A&M University","Master of Science Analytics"," Residency Three: Capstone Project Presentations/Graduation","1. Capstone project employer and peer-presentations.2. Graduation",NA,NA
"82","Texas A&M University","Master of Science Analytics"," STAT 647 Spatial Statistics "," Develop a strong understanding of spatial and spatio-temporal data analysis. Learn and understand the various empirical and graphical tools for understanding spatial and spatio-temporal data that arise in business applications.List of Topics:1. Introduction2. Auto correlation3. Stationary, isotropic random fields4. Variograms5. Kriging6. Estimation methods for covariance parameters7. Spatial regression8. Nonstationary models9. Spatio-temporal models10. Multivariate spatial modelsProjects:1. Modeling gasoline prices in large cities across the     United States2. Modeling real estate prices in King County, Washington",NA,"3 hours "
"83","Texas A&M University","Master of Science Analytics"," Elective ","**Electives vary by cohort and won't be announced until fall semester of year two.",NA,"3 hours **"
"84","Texas A&M University","Master of Science Analytics"," FINC 649 Financial Modeling ","Learn how to build sophisticated financial models that analyze the impact of proposed corporate projects, investments, and other strategic decisions on shareholder value. Master the basic finance theory that underlies valuation models.Throughout the class students will:1. Fundamental principles underlying all financial    models, including the concept of free cash flow,     the time value of money and net present value.2. The fundamentals of capital structure and      financing policy3. The weighted average cost of capital and adjusted      present value methods4. Building deterministic models for forecasting     financial statements and free cash flows 5. Incorporating uncertainty and simulation techniques     into financial statement and free cash flow     forecasting models6. Fitting distributions for simulation of financial     time series and other stochastic processes7. Estimation of the cost of equity and equity capital,     as well as the weighted average cost of capital8. Incorporating real options into financial models9. Applications",NA,"3 hours "
"85","Texas A&M University","Master of Science Analytics"," ISTM 601 Fund. of Bus. Prog. ","The ISTM 601 course provides an opportunity to build upon the introductory Python coding experience gained in the first semester (ISTM 615). Students will explore various publically available Python code libraries that are useful to data science (e.g., Pandas, NumPy, SciKit-Learn, Seaborn, etc.) and learn how to apply them in their analytics work. Other potential topics include web scraping and machine learning. Students will complete a data analysis project by writing Pyton code.",NA,"3 hours "
"86","Texas A&M University","Master of Science Analytics"," STAT 685 Directed Studies ","The student will learn:1. Executive coaching sessions:          a) LinkedIn profiles.          b) Resumes for experienced professionals.          c) Managing your professional career.2. Final capstone presentation with graduate committee.3. Peer and employer capstone presentations.",NA,"2 hours "
